STATISTIC,Statistic,TLIST(A1),Year,C02039V02469,Type of Crop,UNIT,VALUE
AQA03C1,Area under Crops,2005,2005,131,Winter barley,000 Hectares,17
AQA03C1,Area under Crops,2005,2005,132,Spring barley,000 Hectares,147.4
AQA03C1,Area under Crops,2005,2005,2,Beans and peas,000 Hectares,3.7
AQA03C1,Area under Crops,2005,2005,3,Oilseed rape,000 Hectares,3.7
AQA03C1,Area under Crops,2005,2005,4,Potatoes,000 Hectares,11.8
AQA03C1,Area under Crops,2005,2005,5,Turnips,000 Hectares,
AQA03C1,Area under Crops,2005,2005,61,Sugar beet,000 Hectares,31
AQA03C1,Area under Crops,2005,2005,62,Fodder beet,000 Hectares,
AQA03C1,Area under Crops,2005,2005,7,Kale and field cabbage,000 Hectares,
AQA03C1,Area under Crops,2006,2006,1,"Total wheat, oats and barley",000 Hectares,274.9
AQA03C1,Area under Crops,2006,2006,11,Total wheat,000 Hectares,87.5
AQA03C1,Area under Crops,2006,2006,111,Winter wheat,000 Hectares,59.2
AQA03C1,Area under Crops,2006,2006,112,Spring wheat,000 Hectares,28.3
AQA03C1,Area under Crops,2006,2006,12,Total oats,000 Hectares,20.4
AQA03C1,Area under Crops,2006,2006,121,Winter oats,000 Hectares,9.3
AQA03C1,Area under Crops,2006,2006,122,Spring oats,000 Hectares,11.1
AQA03C1,Area under Crops,2006,2006,13,Total barley,000 Hectares,167
AQA03C1,Area under Crops,2006,2006,131,Winter barley,000 Hectares,15.1
AQA03C1,Area under Crops,2006,2006,132,Spring barley,000 Hectares,151.9
AQA03C1,Area under Crops,2006,2006,2,Beans and peas,000 Hectares,4.3
AQA03C1,Area under Crops,2006,2006,3,Oilseed rape,000 Hectares,5.1
AQA03C1,Area under Crops,2006,2006,4,Potatoes,000 Hectares,11.5
AQA03C1,Area under Crops,2006,2006,5,Turnips,000 Hectares,
AQA03C1,Area under Crops,2006,2006,61,Sugar beet,000 Hectares,
AQA03C1,Area under Crops,2006,2006,62,Fodder beet,000 Hectares,
AQA03C1,Area under Crops,2006,2006,7,Kale and field cabbage,000 Hectares,
AQA03C1,Area under Crops,2007,2007,1,"Total wheat, oats and barley",000 Hectares,273.1
AQA03C1,Area under Crops,2007,2007,11,Total wheat,000 Hectares,84.3
AQA03C1,Area under Crops,2007,2007,111,Winter wheat,000 Hectares,64.7
AQA03C1,Area under Crops,2007,2007,112,Spring wheat,000 Hectares,19.6
AQA03C1,Area under Crops,2007,2007,12,Total oats,000 Hectares,21.3
AQA03C1,Area under Crops,2007,2007,121,Winter oats,000 Hectares,13.5
AQA03C1,Area under Crops,2007,2007,122,Spring oats,000 Hectares,7.8
AQA03C1,Area under Crops,2007,2007,13,Total barley,000 Hectares,167.5
AQA03C1,Area under Crops,2007,2007,131,Winter barley,000 Hectares,18.7
AQA03C1,Area under Crops,2007,2007,132,Spring barley,000 Hectares,148.8
AQA03C1,Area under Crops,2007,2007,2,Beans and peas,000 Hectares,2.9
AQA03C1,Area under Crops,2007,2007,3,Oilseed rape,000 Hectares,8.2
AQA03C1,Area under Crops,2007,2007,4,Potatoes,000 Hectares,11.7
AQA03C1,Area under Crops,2007,2007,5,Turnips,000 Hectares,
AQA03C1,Area under Crops,2007,2007,61,Sugar beet,000 Hectares,
AQA03C1,Area under Crops,2007,2007,62,Fodder beet,000 Hectares,
AQA03C1,Area under Crops,2007,2007,7,Kale and field cabbage,000 Hectares,
AQA03C2,Crop Yield per Hectare,1985,1985,1,"Total wheat, oats and barley",Tonnes,5.1
AQA03C2,Crop Yield per Hectare,1985,1985,11,Total wheat,Tonnes,6.4
AQA03C2,Crop Yield per Hectare,1985,1985,111,Winter wheat,Tonnes,6.5
AQA03C2,Crop Yield per Hectare,1985,1985,112,Spring wheat,Tonnes,5.8
AQA03C2,Crop Yield per Hectare,1985,1985,12,Total oats,Tonnes,5.1
AQA03C2,Crop Yield per Hectare,1985,1985,121,Winter oats,Tonnes,6.2
AQA03C2,Crop Yield per Hectare,1985,1985,122,Spring oats,Tonnes,4.4
AQA03C2,Crop Yield per Hectare,1985,1985,13,Total barley,Tonnes,4.8
AQA03C2,Crop Yield per Hectare,1985,1985,131,Winter barley,Tonnes,5.2
AQA03C2,Crop Yield per Hectare,1985,1985,132,Spring barley,Tonnes,4.8
AQA03C2,Crop Yield per Hectare,1985,1985,2,Beans and peas,Tonnes,0
AQA03C2,Crop Yield per Hectare,1985,1985,3,Oilseed rape,Tonnes,0
AQA03C2,Crop Yield per Hectare,1985,1985,4,Potatoes,Tonnes,20.8
AQA03C2,Crop Yield per Hectare,1985,1985,5,Turnips,Tonnes,53.5
AQA03C2,Crop Yield per Hectare,1985,1985,61,Sugar beet,Tonnes,38.7
AQA03C2,Crop Yield per Hectare,1985,1985,62,Fodder beet,Tonnes,56.8
AQA03C2,Crop Yield per Hectare,1985,1985,7,Kale and field cabbage,Tonnes,44.2
AQA03C2,Crop Yield per Hectare,1986,1986,1,"Total wheat, oats and barley",Tonnes,5.2
AQA03C2,Crop Yield per Hectare,1986,1986,11,Total wheat,Tonnes,5.5
AQA03C2,Crop Yield per Hectare,1986,1986,111,Winter wheat,Tonnes,5.6
AQA03C2,Crop Yield per Hectare,1986,1986,112,Spring wheat,Tonnes,5.4
AQA03C2,Crop Yield per Hectare,1986,1986,12,Total oats,Tonnes,5.4
AQA03C2,Crop Yield per Hectare,1986,1986,121,Winter oats,Tonnes,6.4
AQA03C2,Crop Yield per Hectare,1986,1986,122,Spring oats,Tonnes,4.8
AQA03C2,Crop Yield per Hectare,1986,1986,13,Total barley,Tonnes,5.1
AQA03C2,Crop Yield per Hectare,1986,1986,131,Winter barley,Tonnes,5.2
AQA03C2,Crop Yield per Hectare,1986,1986,132,Spring barley,Tonnes,5
AQA03C2,Crop Yield per Hectare,1986,1986,2,Beans and peas,Tonnes,0
AQA03C2,Crop Yield per Hectare,1986,1986,3,Oilseed rape,Tonnes,0
AQA03C2,Crop Yield per Hectare,1986,1986,4,Potatoes,Tonnes,20.3
AQA03C2,Crop Yield per Hectare,1986,1986,5,Turnips,Tonnes,51.6
AQA03C2,Crop Yield per Hectare,1986,1986,61,Sugar beet,Tonnes,34.4
AQA03C2,Crop Yield per Hectare,1986,1986,62,Fodder beet,Tonnes,51.1
AQA03C2,Crop Yield per Hectare,1986,1986,7,Kale and field cabbage,Tonnes,43.1
AQA03C2,Crop Yield per Hectare,1987,1987,1,"Total wheat, oats and barley",Tonnes,6
AQA03C2,Crop Yield per Hectare,1987,1987,11,Total wheat,Tonnes,6.9
AQA03C2,Crop Yield per Hectare,1987,1987,111,Winter wheat,Tonnes,7.3
AQA03C2,Crop Yield per Hectare,1987,1987,112,Spring wheat,Tonnes,6.2
AQA03C2,Crop Yield per Hectare,1987,1987,12,Total oats,Tonnes,5.8
AQA03C2,Crop Yield per Hectare,1987,1987,121,Winter oats,Tonnes,7
AQA03C2,Crop Yield per Hectare,1987,1987,122,Spring oats,Tonnes,5
AQA03C2,Crop Yield per Hectare,1987,1987,13,Total barley,Tonnes,5.8
AQA03C2,Crop Yield per Hectare,1987,1987,131,Winter barley,Tonnes,6.3
AQA03C2,Crop Yield per Hectare,1987,1987,132,Spring barley,Tonnes,5.7
AQA03C2,Crop Yield per Hectare,1987,1987,2,Beans and peas,Tonnes,0
AQA03C2,Crop Yield per Hectare,1987,1987,3,Oilseed rape,Tonnes,0
AQA03C2,Crop Yield per Hectare,1987,1987,4,Potatoes,Tonnes,23
AQA03C2,Crop Yield per Hectare,1987,1987,5,Turnips,Tonnes,56.8
AQA03C2,Crop Yield per Hectare,1987,1987,61,Sugar beet,Tonnes,43.7
AQA03C2,Crop Yield per Hectare,1987,1987,62,Fodder beet,Tonnes,64.8
AQA03C2,Crop Yield per Hectare,1987,1987,7,Kale and field cabbage,Tonnes,52.1
AQA03C2,Crop Yield per Hectare,1988,1988,1,"Total wheat, oats and barley",Tonnes,6.4
AQA03C2,Crop Yield per Hectare,1988,1988,11,Total wheat,Tonnes,7.8
AQA03C2,Crop Yield per Hectare,1988,1988,111,Winter wheat,Tonnes,8.2
AQA03C2,Crop Yield per Hectare,1988,1988,112,Spring wheat,Tonnes,7
AQA03C2,Crop Yield per Hectare,1988,1988,12,Total oats,Tonnes,6.5
AQA03C2,Crop Yield per Hectare,1988,1988,121,Winter oats,Tonnes,7.7
AQA03C2,Crop Yield per Hectare,1988,1988,122,Spring oats,Tonnes,5.6
AQA03C2,Crop Yield per Hectare,1988,1988,13,Total barley,Tonnes,6.1
AQA03C2,Crop Yield per Hectare,1988,1988,131,Winter barley,Tonnes,6.4
AQA03C2,Crop Yield per Hectare,1988,1988,132,Spring barley,Tonnes,6
AQA03C2,Crop Yield per Hectare,1988,1988,2,Beans and peas,Tonnes,0
AQA03C2,Crop Yield per Hectare,1988,1988,3,Oilseed rape,Tonnes,0
AQA03C2,Crop Yield per Hectare,1988,1988,4,Potatoes,Tonnes,24.8
AQA03C2,Crop Yield per Hectare,1988,1988,5,Turnips,Tonnes,51.9
AQA03C2,Crop Yield per Hectare,1988,1988,61,Sugar beet,Tonnes,40.1
AQA03C2,Crop Yield per Hectare,1988,1988,62,Fodder beet,Tonnes,63.4
AQA03C2,Crop Yield per Hectare,1988,1988,7,Kale and field cabbage,Tonnes,39
AQA03C2,Crop Yield per Hectare,1989,1989,1,"Total wheat, oats and barley",Tonnes,6
AQA03C2,Crop Yield per Hectare,1989,1989,11,Total wheat,Tonnes,7.6
AQA03C2,Crop Yield per Hectare,1989,1989,111,Winter wheat,Tonnes,8.1
AQA03C2,Crop Yield per Hectare,1989,1989,112,Spring wheat,Tonnes,6.2
AQA03C2,Crop Yield per Hectare,1989,1989,12,Total oats,Tonnes,6
AQA03C2,Crop Yield per Hectare,1989,1989,121,Winter oats,Tonnes,7.4
AQA03C2,Crop Yield per Hectare,1989,1989,122,Spring oats,Tonnes,4.9
AQA03C2,Crop Yield per Hectare,1989,1989,13,Total barley,Tonnes,5.6
AQA03C2,Crop Yield per Hectare,1989,1989,131,Winter barley,Tonnes,6.6
AQA03C2,Crop Yield per Hectare,1989,1989,132,Spring barley,Tonnes,5.5
AQA03C2,Crop Yield per Hectare,1989,1989,2,Beans and peas,Tonnes,0
AQA03C2,Crop Yield per Hectare,1989,1989,3,Oilseed rape,Tonnes,0
AQA03C2,Crop Yield per Hectare,1989,1989,4,Potatoes,Tonnes,22.4
AQA03C2,Crop Yield per Hectare,1989,1989,5,Turnips,Tonnes,57.6
AQA03C2,Crop Yield per Hectare,1989,1989,61,Sugar beet,Tonnes,45.2
AQA03C2,Crop Yield per Hectare,1989,1989,62,Fodder beet,Tonnes,54.9
AQA03C2,Crop Yield per Hectare,1989,1989,7,Kale and field cabbage,Tonnes,39.5
AQA03C2,Crop Yield per Hectare,1990,1990,1,"Total wheat, oats and barley",Tonnes,6.6
AQA03C2,Crop Yield per Hectare,1990,1990,11,Total wheat,Tonnes,8.5
AQA03C2,Crop Yield per Hectare,1990,1990,111,Winter wheat,Tonnes,9
AQA03C2,Crop Yield per Hectare,1990,1990,112,Spring wheat,Tonnes,6.7
AQA03C2,Crop Yield per Hectare,1990,1990,12,Total oats,Tonnes,6.6
AQA03C2,Crop Yield per Hectare,1990,1990,121,Winter oats,Tonnes,7.6
AQA03C2,Crop Yield per Hectare,1990,1990,122,Spring oats,Tonnes,5.6
AQA03C2,Crop Yield per Hectare,1990,1990,13,Total barley,Tonnes,5.9
AQA03C2,Crop Yield per Hectare,1990,1990,131,Winter barley,Tonnes,7.7
AQA03C2,Crop Yield per Hectare,1990,1990,132,Spring barley,Tonnes,5.6
AQA03C2,Crop Yield per Hectare,1990,1990,2,Beans and peas,Tonnes,4.9
AQA03C2,Crop Yield per Hectare,1990,1990,3,Oilseed rape,Tonnes,3.6
AQA03C2,Crop Yield per Hectare,1990,1990,4,Potatoes,Tonnes,24.9
AQA03C2,Crop Yield per Hectare,1990,1990,5,Turnips,Tonnes,54.8
AQA03C2,Crop Yield per Hectare,1990,1990,61,Sugar beet,Tonnes,45.8
AQA03C2,Crop Yield per Hectare,1990,1990,62,Fodder beet,Tonnes,65
AQA03C2,Crop Yield per Hectare,1990,1990,7,Kale and field cabbage,Tonnes,49.5
AQA03C2,Crop Yield per Hectare,1991,1991,1,"Total wheat, oats and barley",Tonnes,6.6
AQA03C2,Crop Yield per Hectare,1991,1991,11,Total wheat,Tonnes,7.9
AQA03C2,Crop Yield per Hectare,1991,1991,111,Winter wheat,Tonnes,8.2
AQA03C2,Crop Yield per Hectare,1991,1991,112,Spring wheat,Tonnes,6.7
AQA03C2,Crop Yield per Hectare,1991,1991,12,Total oats,Tonnes,7
AQA03C2,Crop Yield per Hectare,1991,1991,121,Winter oats,Tonnes,7.8
AQA03C2,Crop Yield per Hectare,1991,1991,122,Spring oats,Tonnes,5.9
AQA03C2,Crop Yield per Hectare,1991,1991,13,Total barley,Tonnes,5.9
AQA03C2,Crop Yield per Hectare,1991,1991,131,Winter barley,Tonnes,7.9
AQA03C2,Crop Yield per Hectare,1991,1991,132,Spring barley,Tonnes,5.5
AQA03C2,Crop Yield per Hectare,1991,1991,2,Beans and peas,Tonnes,4.7
AQA03C2,Crop Yield per Hectare,1991,1991,3,Oilseed rape,Tonnes,3.7
AQA03C2,Crop Yield per Hectare,1991,1991,4,Potatoes,Tonnes,27.9
AQA03C2,Crop Yield per Hectare,1991,1991,5,Turnips,Tonnes,52.5
AQA03C2,Crop Yield per Hectare,1991,1991,61,Sugar beet,Tonnes,42.3
AQA03C2,Crop Yield per Hectare,1991,1991,62,Fodder beet,Tonnes,68.9
AQA03C2,Crop Yield per Hectare,1991,1991,7,Kale and field cabbage,Tonnes,42.2
AQA03C2,Crop Yield per Hectare,1992,1992,1,"Total wheat, oats and barley",Tonnes,6.8
AQA03C2,Crop Yield per Hectare,1992,1992,11,Total wheat,Tonnes,7.9
AQA03C2,Crop Yield per Hectare,1992,1992,111,Winter wheat,Tonnes,8
AQA03C2,Crop Yield per Hectare,1992,1992,112,Spring wheat,Tonnes,7.4
AQA03C2,Crop Yield per Hectare,1992,1992,12,Total oats,Tonnes,6.8
AQA03C2,Crop Yield per Hectare,1992,1992,121,Winter oats,Tonnes,7.4
AQA03C2,Crop Yield per Hectare,1992,1992,122,Spring oats,Tonnes,6
AQA03C2,Crop Yield per Hectare,1992,1992,13,Total barley,Tonnes,6.3
AQA03C2,Crop Yield per Hectare,1992,1992,131,Winter barley,Tonnes,7.6
AQA03C2,Crop Yield per Hectare,1992,1992,132,Spring barley,Tonnes,6
AQA03C2,Crop Yield per Hectare,1992,1992,2,Beans and peas,Tonnes,5
AQA03C2,Crop Yield per Hectare,1992,1992,3,Oilseed rape,Tonnes,3.1
AQA03C2,Crop Yield per Hectare,1992,1992,4,Potatoes,Tonnes,28.9
AQA03C2,Crop Yield per Hectare,1992,1992,5,Turnips,Tonnes,55.5
AQA03C2,Crop Yield per Hectare,1992,1992,61,Sugar beet,Tonnes,44.6
AQA03C2,Crop Yield per Hectare,1992,1992,62,Fodder beet,Tonnes,70.6
AQA03C2,Crop Yield per Hectare,1992,1992,7,Kale and field cabbage,Tonnes,48.8
AQA03C2,Crop Yield per Hectare,1993,1993,1,"Total wheat, oats and barley",Tonnes,5.8
AQA03C2,Crop Yield per Hectare,1993,1993,11,Total wheat,Tonnes,6.8
AQA03C2,Crop Yield per Hectare,1993,1993,111,Winter wheat,Tonnes,6.7
AQA03C2,Crop Yield per Hectare,1993,1993,112,Spring wheat,Tonnes,7.1
AQA03C2,Crop Yield per Hectare,1993,1993,12,Total oats,Tonnes,6.4
AQA03C2,Crop Yield per Hectare,1993,1993,121,Winter oats,Tonnes,7
AQA03C2,Crop Yield per Hectare,1993,1993,122,Spring oats,Tonnes,5.5
AQA03C2,Crop Yield per Hectare,1993,1993,13,Total barley,Tonnes,5.3
AQA03C2,Crop Yield per Hectare,1993,1993,131,Winter barley,Tonnes,6.1
AQA03C2,Crop Yield per Hectare,1993,1993,132,Spring barley,Tonnes,5.1
AQA03C2,Crop Yield per Hectare,1993,1993,2,Beans and peas,Tonnes,4.3
AQA03C2,Crop Yield per Hectare,1993,1993,3,Oilseed rape,Tonnes,2.7
AQA03C2,Crop Yield per Hectare,1993,1993,4,Potatoes,Tonnes,26.3
AQA03C2,Crop Yield per Hectare,1993,1993,5,Turnips,Tonnes,52.3
AQA03C2,Crop Yield per Hectare,1993,1993,61,Sugar beet,Tonnes,34.7
AQA03C2,Crop Yield per Hectare,1993,1993,62,Fodder beet,Tonnes,54.9
AQA03C2,Crop Yield per Hectare,1993,1993,7,Kale and field cabbage,Tonnes,43
AQA03C2,Crop Yield per Hectare,1994,1994,1,"Total wheat, oats and barley",Tonnes,6.1
AQA03C2,Crop Yield per Hectare,1994,1994,11,Total wheat,Tonnes,7.7
AQA03C2,Crop Yield per Hectare,1994,1994,111,Winter wheat,Tonnes,8.1
AQA03C2,Crop Yield per Hectare,1994,1994,112,Spring wheat,Tonnes,6.4
AQA03C2,Crop Yield per Hectare,1994,1994,12,Total oats,Tonnes,6.1
AQA03C2,Crop Yield per Hectare,1994,1994,121,Winter oats,Tonnes,6.9
AQA03C2,Crop Yield per Hectare,1994,1994,122,Spring oats,Tonnes,4.7
AQA03C2,Crop Yield per Hectare,1994,1994,13,Total barley,Tonnes,5.4
AQA03C2,Crop Yield per Hectare,1994,1994,131,Winter barley,Tonnes,6.8
AQA03C2,Crop Yield per Hectare,1994,1994,132,Spring barley,Tonnes,5
AQA03C2,Crop Yield per Hectare,1994,1994,2,Beans and peas,Tonnes,4.5
AQA03C2,Crop Yield per Hectare,1994,1994,3,Oilseed rape,Tonnes,2.6
AQA03C2,Crop Yield per Hectare,1994,1994,4,Potatoes,Tonnes,30.1
AQA03C2,Crop Yield per Hectare,1994,1994,5,Turnips,Tonnes,53.1
AQA03C2,Crop Yield per Hectare,1994,1994,61,Sugar beet,Tonnes,39.3
AQA03C2,Crop Yield per Hectare,1994,1994,62,Fodder beet,Tonnes,59
AQA03C2,Crop Yield per Hectare,1994,1994,7,Kale and field cabbage,Tonnes,44.5
AQA03C2,Crop Yield per Hectare,1995,1995,1,"Total wheat, oats and barley",Tonnes,6.7
AQA03C2,Crop Yield per Hectare,1995,1995,11,Total wheat,Tonnes,8.2
AQA03C2,Crop Yield per Hectare,1995,1995,111,Winter wheat,Tonnes,8.7
AQA03C2,Crop Yield per Hectare,1995,1995,112,Spring wheat,Tonnes,7
AQA03C2,Crop Yield per Hectare,1995,1995,12,Total oats,Tonnes,6.5
AQA03C2,Crop Yield per Hectare,1995,1995,121,Winter oats,Tonnes,7.2
AQA03C2,Crop Yield per Hectare,1995,1995,122,Spring oats,Tonnes,5.7
AQA03C2,Crop Yield per Hectare,1995,1995,13,Total barley,Tonnes,6.1
AQA03C2,Crop Yield per Hectare,1995,1995,131,Winter barley,Tonnes,6.8
AQA03C2,Crop Yield per Hectare,1995,1995,132,Spring barley,Tonnes,5.9
AQA03C2,Crop Yield per Hectare,1995,1995,2,Beans and peas,Tonnes,4
AQA03C2,Crop Yield per Hectare,1995,1995,3,Oilseed rape,Tonnes,3.3
AQA03C2,Crop Yield per Hectare,1995,1995,4,Potatoes,Tonnes,27.6
AQA03C2,Crop Yield per Hectare,1995,1995,5,Turnips,Tonnes,54.1
AQA03C2,Crop Yield per Hectare,1995,1995,61,Sugar beet,Tonnes,44.1
AQA03C2,Crop Yield per Hectare,1995,1995,62,Fodder beet,Tonnes,66.8
AQA03C2,Crop Yield per Hectare,1995,1995,7,Kale and field cabbage,Tonnes,39
AQA03C2,Crop Yield per Hectare,1996,1996,1,"Total wheat, oats and barley",Tonnes,7.4
AQA03C2,Crop Yield per Hectare,1996,1996,11,Total wheat,Tonnes,9
AQA03C2,Crop Yield per Hectare,1996,1996,111,Winter wheat,Tonnes,9.4
AQA03C2,Crop Yield per Hectare,1996,1996,112,Spring wheat,Tonnes,7.5
AQA03C2,Crop Yield per Hectare,1996,1996,12,Total oats,Tonnes,7
AQA03C2,Crop Yield per Hectare,1996,1996,121,Winter oats,Tonnes,7.6
AQA03C2,Crop Yield per Hectare,1996,1996,122,Spring oats,Tonnes,6.1
AQA03C2,Crop Yield per Hectare,1996,1996,13,Total barley,Tonnes,6.8
AQA03C2,Crop Yield per Hectare,1996,1996,131,Winter barley,Tonnes,8
AQA03C2,Crop Yield per Hectare,1996,1996,132,Spring barley,Tonnes,6.4
AQA03C2,Crop Yield per Hectare,1996,1996,2,Beans and peas,Tonnes,4.5
AQA03C2,Crop Yield per Hectare,1996,1996,3,Oilseed rape,Tonnes,2.9
AQA03C2,Crop Yield per Hectare,1996,1996,4,Potatoes,Tonnes,30.2
AQA03C2,Crop Yield per Hectare,1996,1996,5,Turnips,Tonnes,57.8
AQA03C2,Crop Yield per Hectare,1996,1996,61,Sugar beet,Tonnes,45.7
AQA03C2,Crop Yield per Hectare,1996,1996,62,Fodder beet,Tonnes,73.7
AQA03C2,Crop Yield per Hectare,1996,1996,7,Kale and field cabbage,Tonnes,40.8
AQA03C2,Crop Yield per Hectare,1997,1997,1,"Total wheat, oats and barley",Tonnes,6.4
AQA03C2,Crop Yield per Hectare,1997,1997,11,Total wheat,Tonnes,7.7
AQA03C2,Crop Yield per Hectare,1997,1997,111,Winter wheat,Tonnes,8
AQA03C2,Crop Yield per Hectare,1997,1997,112,Spring wheat,Tonnes,6.8
AQA03C2,Crop Yield per Hectare,1997,1997,12,Total oats,Tonnes,6.4
AQA03C2,Crop Yield per Hectare,1997,1997,121,Winter oats,Tonnes,7.4
AQA03C2,Crop Yield per Hectare,1997,1997,122,Spring oats,Tonnes,5.2
AQA03C2,Crop Yield per Hectare,1997,1997,13,Total barley,Tonnes,5.7
AQA03C2,Crop Yield per Hectare,1997,1997,131,Winter barley,Tonnes,7
AQA03C2,Crop Yield per Hectare,1997,1997,132,Spring barley,Tonnes,5.4
AQA03C2,Crop Yield per Hectare,1997,1997,2,Beans and peas,Tonnes,4
AQA03C2,Crop Yield per Hectare,1997,1997,3,Oilseed rape,Tonnes,2.7
AQA03C2,Crop Yield per Hectare,1997,1997,4,Potatoes,Tonnes,25.9
AQA03C2,Crop Yield per Hectare,1997,1997,5,Turnips,Tonnes,55
AQA03C2,Crop Yield per Hectare,1997,1997,61,Sugar beet,Tonnes,51
AQA03C2,Crop Yield per Hectare,1997,1997,62,Fodder beet,Tonnes,66.2
AQA03C2,Crop Yield per Hectare,1997,1997,7,Kale and field cabbage,Tonnes,
AQA03C2,Crop Yield per Hectare,1998,1998,1,"Total wheat, oats and barley",Tonnes,6.3
AQA03C2,Crop Yield per Hectare,1998,1998,11,Total wheat,Tonnes,8
AQA03C2,Crop Yield per Hectare,1998,1998,111,Winter wheat,Tonnes,8.1
AQA03C2,Crop Yield per Hectare,1998,1998,112,Spring wheat,Tonnes,7.7
AQA03C2,Crop Yield per Hectare,1998,1998,12,Total oats,Tonnes,6.1
AQA03C2,Crop Yield per Hectare,1998,1998,121,Winter oats,Tonnes,6.6
AQA03C2,Crop Yield per Hectare,1998,1998,122,Spring oats,Tonnes,5.3
AQA03C2,Crop Yield per Hectare,1998,1998,13,Total barley,Tonnes,5.6
AQA03C2,Crop Yield per Hectare,1998,1998,131,Winter barley,Tonnes,6.4
AQA03C2,Crop Yield per Hectare,1998,1998,132,Spring barley,Tonnes,5.4
AQA03C2,Crop Yield per Hectare,1998,1998,2,Beans and peas,Tonnes,5
AQA03C2,Crop Yield per Hectare,1998,1998,3,Oilseed rape,Tonnes,2.9
AQA03C2,Crop Yield per Hectare,1998,1998,4,Potatoes,Tonnes,26.1
AQA03C2,Crop Yield per Hectare,1998,1998,5,Turnips,Tonnes,45.3
AQA03C2,Crop Yield per Hectare,1998,1998,61,Sugar beet,Tonnes,49.8
AQA03C2,Crop Yield per Hectare,1998,1998,62,Fodder beet,Tonnes,64.8
AQA03C2,Crop Yield per Hectare,1998,1998,7,Kale and field cabbage,Tonnes,
AQA03C2,Crop Yield per Hectare,1999,1999,1,"Total wheat, oats and barley",Tonnes,7.2
AQA03C2,Crop Yield per Hectare,1999,1999,11,Total wheat,Tonnes,8.8
AQA03C2,Crop Yield per Hectare,1999,1999,111,Winter wheat,Tonnes,9.4
AQA03C2,Crop Yield per Hectare,1999,1999,112,Spring wheat,Tonnes,7.8
AQA03C2,Crop Yield per Hectare,1999,1999,12,Total oats,Tonnes,6.7
AQA03C2,Crop Yield per Hectare,1999,1999,121,Winter oats,Tonnes,7.8
AQA03C2,Crop Yield per Hectare,1999,1999,122,Spring oats,Tonnes,6.1
AQA03C2,Crop Yield per Hectare,1999,1999,13,Total barley,Tonnes,6.7
AQA03C2,Crop Yield per Hectare,1999,1999,131,Winter barley,Tonnes,7.6
AQA03C2,Crop Yield per Hectare,1999,1999,132,Spring barley,Tonnes,6.5
AQA03C2,Crop Yield per Hectare,1999,1999,2,Beans and peas,Tonnes,4.5
AQA03C2,Crop Yield per Hectare,1999,1999,3,Oilseed rape,Tonnes,1.9
AQA03C2,Crop Yield per Hectare,1999,1999,4,Potatoes,Tonnes,32
AQA03C2,Crop Yield per Hectare,1999,1999,5,Turnips,Tonnes,42
AQA03C2,Crop Yield per Hectare,1999,1999,61,Sugar beet,Tonnes,50.7
AQA03C2,Crop Yield per Hectare,1999,1999,62,Fodder beet,Tonnes,70.4
AQA03C2,Crop Yield per Hectare,1999,1999,7,Kale and field cabbage,Tonnes,
AQA03C2,Crop Yield per Hectare,2000,2000,1,"Total wheat, oats and barley",Tonnes,7.8
AQA03C2,Crop Yield per Hectare,2000,2000,11,Total wheat,Tonnes,9.5
AQA03C2,Crop Yield per Hectare,2000,2000,111,Winter wheat,Tonnes,9.9
AQA03C2,Crop Yield per Hectare,2000,2000,112,Spring wheat,Tonnes,8.1
AQA03C2,Crop Yield per Hectare,2000,2000,12,Total oats,Tonnes,7.5
AQA03C2,Crop Yield per Hectare,2000,2000,121,Winter oats,Tonnes,8.3
AQA03C2,Crop Yield per Hectare,2000,2000,122,Spring oats,Tonnes,6.5
AQA03C2,Crop Yield per Hectare,2000,2000,13,Total barley,Tonnes,7.2
AQA03C2,Crop Yield per Hectare,2000,2000,131,Winter barley,Tonnes,8.4
AQA03C2,Crop Yield per Hectare,2000,2000,132,Spring barley,Tonnes,7
AQA03C2,Crop Yield per Hectare,2000,2000,2,Beans and peas,Tonnes,5.1
AQA03C2,Crop Yield per Hectare,2000,2000,3,Oilseed rape,Tonnes,3.2
AQA03C2,Crop Yield per Hectare,2000,2000,4,Potatoes,Tonnes,33.6
AQA03C2,Crop Yield per Hectare,2000,2000,5,Turnips,Tonnes,60
AQA03C2,Crop Yield per Hectare,2000,2000,61,Sugar beet,Tonnes,56.8
AQA03C2,Crop Yield per Hectare,2000,2000,62,Fodder beet,Tonnes,70.3
AQA03C2,Crop Yield per Hectare,2000,2000,7,Kale and field cabbage,Tonnes,
AQA03C2,Crop Yield per Hectare,2001,2001,1,"Total wheat, oats and barley",Tonnes,7.6
AQA03C2,Crop Yield per Hectare,2001,2001,11,Total wheat,Tonnes,9.1
AQA03C2,Crop Yield per Hectare,2001,2001,111,Winter wheat,Tonnes,9.8
AQA03C2,Crop Yield per Hectare,2001,2001,112,Spring wheat,Tonnes,8
AQA03C2,Crop Yield per Hectare,2001,2001,12,Total oats,Tonnes,7.1
AQA03C2,Crop Yield per Hectare,2001,2001,121,Winter oats,Tonnes,8
AQA03C2,Crop Yield per Hectare,2001,2001,122,Spring oats,Tonnes,6.6
AQA03C2,Crop Yield per Hectare,2001,2001,13,Total barley,Tonnes,7
AQA03C2,Crop Yield per Hectare,2001,2001,131,Winter barley,Tonnes,8
AQA03C2,Crop Yield per Hectare,2001,2001,132,Spring barley,Tonnes,6.9
