STATISTIC,Statistic,TLIST(A1),Year,C02039V02469,Type of Crop,UNIT,VALUE
AQA03C1,Area under Crops,1989,1989,11,Total wheat,000 Hectares,60.7
AQA03C1,Area under Crops,1989,1989,111,Winter wheat,000 Hectares,43
AQA03C1,Area under Crops,1989,1989,112,Spring wheat,000 Hectares,17.7
AQA03C1,Area under Crops,1989,1989,12,Total oats,000 Hectares,22.4
AQA03C1,Area under Crops,1989,1989,121,Winter oats,000 Hectares,10.1
AQA03C1,Area under Crops,1989,1989,122,Spring oats,000 Hectares,12.3
AQA03C1,Area under Crops,1989,1989,13,Total barley,000 Hectares,236.5
AQA03C1,Area under Crops,1989,1989,131,Winter barley,000 Hectares,24.9
AQA03C1,Area under Crops,1989,1989,132,Spring barley,000 Hectares,211.6
AQA03C1,Area under Crops,1989,1989,2,Beans and peas,000 Hectares,2.7
AQA03C1,Area under Crops,1989,1989,3,Oilseed rape,000 Hectares,4.5
AQA03C1,Area under Crops,1989,1989,4,Potatoes,000 Hectares,24.7
AQA03C1,Area under Crops,1989,1989,5,Turnips,000 Hectares,8.1
AQA03C1,Area under Crops,1989,1989,61,Sugar beet,000 Hectares,32.1
AQA03C1,Area under Crops,1989,1989,62,Fodder beet,000 Hectares,7.1
AQA03C1,Area under Crops,1989,1989,7,Kale and field cabbage,000 Hectares,2.4
AQA03C1,Area under Crops,1990,1990,1,"Total wheat, oats and barley",000 Hectares,298.5
AQA03C1,Area under Crops,1990,1990,11,Total wheat,000 Hectares,70.1
AQA03C1,Area under Crops,1990,1990,111,Winter wheat,000 Hectares,56.5
AQA03C1,Area under Crops,1990,1990,112,Spring wheat,000 Hectares,13.6
AQA03C1,Area under Crops,1990,1990,12,Total oats,000 Hectares,21.8
AQA03C1,Area under Crops,1990,1990,121,Winter oats,000 Hectares,10.6
AQA03C1,Area under Crops,1990,1990,122,Spring oats,000 Hectares,11.2
AQA03C1,Area under Crops,1990,1990,13,Total barley,000 Hectares,206.6
AQA03C1,Area under Crops,1990,1990,131,Winter barley,000 Hectares,28.7
AQA03C1,Area under Crops,1990,1990,132,Spring barley,000 Hectares,178
AQA03C1,Area under Crops,1990,1990,2,Beans and peas,000 Hectares,3
AQA03C1,Area under Crops,1990,1990,3,Oilseed rape,000 Hectares,5.4
AQA03C1,Area under Crops,1990,1990,4,Potatoes,000 Hectares,24.3
AQA03C1,Area under Crops,1990,1990,5,Turnips,000 Hectares,7.1
AQA03C1,Area under Crops,1990,1990,61,Sugar beet,000 Hectares,32.3
AQA03C1,Area under Crops,1990,1990,62,Fodder beet,000 Hectares,8.5
AQA03C1,Area under Crops,1990,1990,7,Kale and field cabbage,000 Hectares,2
